Year,"Electricity consumption per capita, Kenya",Units
2000,0.109,MWh / Capita
2001,0.118,MWh / Capita
2002,0.118,MWh / Capita
2003,0.126,MWh / Capita
2004,0.131,MWh / Capita
2005,0.131,MWh / Capita
2006,0.133,MWh / Capita
2007,0.141,MWh / Capita
2008,0.141,MWh / Capita
2009,0.141,MWh / Capita
2010,0.146,MWh / Capita
2011,0.153,MWh / Capita
2012,0.15,MWh / Capita
2013,0.159,MWh / Capita
2014,0.166,MWh / Capita
2015,0.172,MWh / Capita
2016,0.173,MWh / Capita
2017,0.176,MWh / Capita
2018,0.178,MWh / Capita
2019,0.176,MWh / Capita
2020,0.173,MWh / Capita
2021,0.184,MWh / Capita
2022,0.189,MWh / Capita
2023,0.19,MWh / Capita
