"electricity, Kenya",Value,Year,Units
"Imports",198,2000,GWh
"Imports",172,2001,GWh
"Imports",222,2002,GWh
"Imports",189,2003,GWh
"Imports",162,2004,GWh
"Imports",28,2005,GWh
"Imports",11,2006,GWh
"Imports",23,2007,GWh
"Imports",25,2008,GWh
"Imports",39,2009,GWh
"Imports",30,2010,GWh
"Imports",34,2011,GWh
"Imports",39,2012,GWh
"Imports",49,2013,GWh
"Imports",158,2014,GWh
"Imports",59,2015,GWh
"Imports",86,2016,GWh
"Imports",229,2017,GWh
"Imports",130,2018,GWh
"Imports",212,2019,GWh
"Imports",136,2020,GWh
"Imports",288,2021,GWh
"Imports",316,2022,GWh
"Imports",919,2023,GWh
"Imports",1532,2024,GWh
"Exports",,2000,GWh
"Exports",,2001,GWh
"Exports",,2002,GWh
"Exports",,2003,GWh
"Exports",,2004,GWh
"Exports",-24,2005,GWh
"Exports",-47,2006,GWh
"Exports",-58,2007,GWh
"Exports",-41,2008,GWh
"Exports",-27,2009,GWh
"Exports",-29,2010,GWh
"Exports",-37,2011,GWh
"Exports",-33,2012,GWh
"Exports",-44,2013,GWh
"Exports",-31,2014,GWh
"Exports",-47,2015,GWh
"Exports",-39,2016,GWh
"Exports",-12,2017,GWh
"Exports",-35,2018,GWh
"Exports",-16,2019,GWh
"Exports",-16,2020,GWh
"Exports",-18,2021,GWh
"Exports",-21,2022,GWh
"Exports",-33,2023,GWh
"Exports",-42,2024,GWh
